Account,Sample- Joint,,,,,,,,,,,,,,,,,,,,,
SELECTION CRITERIA: All transaction types,,,,,,,,,,,,,,,,,,,,,,
SECURITY: All securities,,,,,,,,,,,,,,,,,,,,,,
DATES: 01-JAN-2024 TO 01-JAN-2025,,,,,,,,,,,,,,,,,,,,,,
                      ,,,,,,,,,,,,,,,,,,,,,,
TRANS/VALUE DATE,ENTRY DATE,TRANS TYPE,A/C,ST,QUANTITY,TRADE NO,CUSIP,SYMBOL,SECURITY DESCRIPTION,AVG COST,,UNIT PRICE,,TOTAL AMOUNT,,REMARK,GAIN/LOSS,,CXLD,LONG REMARK,COMMISSION,
28-Jun-24,02-Jul-24,Stock Div,22,,12,,D002576,DYN2853,DYNAMIC PREMIUM YIELD FD SR F(,,,,,0,,DIV C5,,,,AS OF 06/28/24                 REINVESTED DIVIDENDS @$11.5847,,
28-Jun-24,02-Jul-24,Stock Div,22,,637,,D002577,,1000THS DYNAMIC PREMIUM YIELD,,,,,0,,DIV C5,,,,AS OF 06/28/24                 REINVESTED DIVIDENDS @$11.5847,,
28-Jun-24,02-Jul-24,Stock Div,22,,917,,D054213,,1000THS DYNAMIC CR  ABSOLUTE R,,,,,0,,DIV C5,,,,AS OF 06/28/24                 REINVESTED DIVIDENDS @$8.8639,,
28-Jun-24,02-Jul-24,Stock Div,22,,24,,D054214,DYN27550,DYNAMIC CR  ABSOLUTE RETURN FD,,,,,0,,DIV C5,,,,AS OF 06/28/24                 REINVESTED DIVIDENDS @$8.8639,,
25-Jun-2024/26-Jun-2024,26-Jun-24,SELL,22,,-3000,9094,B074135,BMT102,BMO CAD HISA CL F (102),1,,1,,3000,,,0,,,,0,
25-Jun-24,,Misc cash,22U,,,,,,BUY USD @ 1.3750,,,,,450,U,FXC H4,,,,BUY USD @      1.3750,,
25-Jun-24,,Misc cash,22,,,,,,BUY USD @ 1.3750,,,,,-618.75,,FXC H4,,,,BUY USD @      1.3750,,
21-Jun-2024/21-Jun-2024,21-Jun-24,BUY,22U,,0,8844,9334862,,ARCHITECT FEE(HST INCL REG,,,0,U,-480.78,U,,,,,,0,U
21-Jun-2024/21-Jun-2024,21-Jun-24,BUY,22,,0,8843,9334862,,ARCHITECT FEE(HST INCL REG,,,0,,-772.83,,,,,,,0,
21-Jun-2024/21-Jun-2024,21-Jun-24,BUY,22,,0,8036,9334944,,MERIDIAN PROGRAM(HST INCL REG,,,0,,-1238.91,,,,,,,0,
31-May-24,03-Jun-24,Interest,22,,80,,B074076,,1000THS BMO CAD HISA SR F(102),,,,,0,,INT C5,,,,AS OF 05/31/24                 REINVESTED @ $1.00,,
