Transaction,SAMPLE- RRSP 1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
SELECTION CRITERIA: All transaction types,,,,,,,,,,,,,,,,,,,,,
SECURITY: All securities,,,,,,,,,,,,,,,,,,,,,
DATES: 01-JAN-2024 TO 01-JAN-2025,,,,,,,,,,,,,,,,,,,,,
                      ,,,,,,,,,,,,,,,,,,,,,
TRANS/VALUE DATE,ENTRY DATE,TRANS TYPE,A/C,ST,QUANTITY,TRADE NO,CUSIP,SYMBOL,SECURITY DESCRIPTION,AVG COST,,UNIT PRICE,,TOTAL AMOUNT,,REMARK,GAIN/LOSS,,CXLD,LONG REMARK,COMMISSION
31-Jan-24,01-Feb-24,Interest,19,,290,,B074076,,1000THS BMO CAD HISA SR F(102),,,,,0,,INT C5,,,,AS OF 01/31/24                 REINVESTED @ $1.00,
31-Jan-24,01-Feb-24,Interest,19,,702,,B074135,BMT102,BMO CAD HISA CL F (102),,,,,0,,INT C5,,,,AS OF 01/31/24                 REINVESTED @ $1.00,
31-Jan-24,01-Feb-24,Interest,19U,,110,,B074345,,1000THS BMO USD HISA SR I(123),,,,,0,U,INT C5,,,,AS OF 01/31/24                 REINVESTED @ $1.00,
31-Jan-24,01-Feb-24,Interest,19U,,217,,B074346,BMT123,BMO USD HISA CL I  (123),,,,,0,U,INT C5,,,,AS OF 01/31/24                 REINVESTED @ $1.00,
18-Jan-24,,RRSP Trans,19,,27,,B074135,BMT102,BMO CAD HISA CL F (102),,,,,0,,TF6 Y4,,,,146.16 TRANSFER                BOOK VALUE              26.17  411-19468-1-2,
18-Jan-24,,RRSP Trans,19,,50,,B074076,,1000THS BMO CAD HISA SR F(102),,,,,0,,TF6 Y4,,,,146.16 TRANSFER                411-19468-1-2,
15-Jan-24,,Purchase,19,,220,,B074076,,1000THS BMO CAD HISA SR F(102),,,,,0,,PUR KP,,,,AS OF 01/15/24                 REC FRACTIONAL SHARES IN RE    BUY OF 610.220 SHARES,
12-Jan-2024/15-Jan-2024,15-Jan-24,BUY,19,,610,1822,B074135,BMT102,BMO CAD HISA CL F (102),,,1,,-610.22,,,,,,,0
10-Jan-24,,Interest,19,,,,585CMVRZ2,,BMO EXT2025 FIXED 5.75%10JUL24,,,,,610.22,,INT,,,,REG INT   ON   21225 BND       REC 01/03/24 PAY 01/10/24      IFM 07/10/23 F/C 01/10/24,
03-Jan-24,,Reinvested,19,,-1000,,B074076,,1000THS BMO CAD HISA SR F(102),,,,,0,,EXH AB,,,,FULL SHARES FOR FRACTIONS,
03-Jan-24,,Reinvested,19,,1,,B074135,BMT102,BMO CAD HISA CL F (102),,,,,0,,EXH AB,,,,FULL SHARES FOR FRACTIONS,
03-Jan-24,,Reinvested,19U,,-1000,,B074345,,1000THS BMO USD HISA SR I(123),,,,,0,U,EXH AB,,,,FULL SHARES FOR FRACTIONS,
03-Jan-24,,Reinvested,19U,,1,,B074346,BMT123,BMO USD HISA CL I  (123),,,,,0,U,EXH AB,,,,FULL SHARES FOR FRACTIONS,
